area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,property_subtype,garden,garden_surface,province
123.0,200000.0,good,3.0,2.0,installed,,,3294,429.0,0,0,,house,house,1,350,Flemish Brabant
255.0,698000.0,just renovated,4.0,4.0,installed,,,2070,1210.0,0,0,,house,villa,0,0,Antwerp
234.0,499000.0,as new,,5.0,,,,8800,744.0,0,0,,house,villa,0,0,West Flanders
219.0,717000.0,as new,,4.0,,,,8000,760.0,0,0,,house,house,0,0,West Flanders
156.0,429000.0,good,4.0,4.0,installed,,,8800,419.0,0,0,,house,villa,1,90,West Flanders
140.0,279000.0,good,2.0,5.0,installed,,,9000,85.0,1,40,,house,house,0,0,East Flanders
256.0,210000.0,good,3.0,4.0,installed,,,7080,201.0,0,0,,house,house,0,0,Hainaut
850.0,849000.0,good,2.0,9.0,,,,3300,615.0,1,20,,house,mixed,0,0,Flemish Brabant
161.0,295500.0,as new,,4.0,hyper equipped,,,5590,533.0,0,0,,house,house,1,631,Namur
61.0,42000.0,to renovate,,1.0,,,,1460,194.0,0,0,,house,house,0,0,Walloon Brabant
160.0,229000.0,good,2.0,3.0,installed,,,6230,480.0,1,10,,house,house,1,400,Hainaut
140.0,104500.0,to renovate,2.0,3.0,,,,4031,100.0,1,11,,house,house,1,31,Liege
176.0,425000.0,as new,4.0,3.0,hyper equipped,,1.0,1400,735.0,1,40,,house,house,1,500,Walloon Brabant
310.0,549000.0,as new,4.0,3.0,installed,,1.0,2490,1389.0,0,0,,house,villa,0,0,Antwerp
120.0,745000.0,good,2.0,3.0,,,,3000,60.0,1,12,,house,house,0,0,Flemish Brabant
170.0,265000.0,good,3.0,3.0,semi equipped,,,8580,742.0,0,0,,house,house,0,0,West Flanders
182.0,150000.0,to renovate,2.0,4.0,,,,6880,341.0,1,33,,house,town,1,190,Luxembourg
140.0,369000.0,,2.0,3.0,,,,9120,388.0,0,0,,house,house,0,0,East Flanders
79.0,49000.0,to renovate,4.0,2.0,semi equipped,,,5640,220.0,1,8,,house,chalet,1,30,Namur
70.0,90000.0,,2.0,2.0,usa semi equipped,,,7040,150.0,0,0,,house,house,1,60,Hainaut
229.0,350000.0,good,,3.0,installed,,,1420,320.0,0,0,,house,house,0,0,Walloon Brabant
191.0,445000.0,good,4.0,5.0,installed,,,3140,2000.0,0,0,,house,house,1,1500,Flemish Brabant
154.0,286500.0,good,3.0,3.0,installed,,,8480,340.0,0,0,,house,house,0,0,West Flanders
112.0,313599.0,as new,,3.0,,,,3370,143.0,1,16,,house,house,0,0,Flemish Brabant
240.0,849000.0,as new,4.0,5.0,installed,,,9880,15608.0,0,0,,house,house,0,0,East Flanders
175.0,376250.0,as new,3.0,3.0,installed,,,4607,475.0,1,12,,house,house,0,0,Liege
100.0,240000.0,good,,2.0,installed,,,6250,485.0,0,0,,house,villa,1,400,Hainaut
80.0,120000.0,good,3.0,2.0,usa installed,,,7301,220.0,0,0,,house,house,0,0,Hainaut
440.0,1290000.0,as new,4.0,7.0,hyper equipped,,,1410,1600.0,1,100,True,house,house,0,0,Walloon Brabant
537.0,1850000.0,good,4.0,5.0,hyper equipped,,,1950,3225.0,1,40,,house,house,1,3000,Flemish Brabant
189.0,724000.0,as new,4.0,4.0,,,,9660,8487.0,0,0,,house,country,0,0,East Flanders
210.0,460000.0,as new,4.0,4.0,hyper equipped,,,1390,879.0,1,30,,house,house,1,762,Walloon Brabant
147.0,209000.0,good,,3.0,installed,,,8800,354.0,0,0,,house,house,0,0,West Flanders
182.0,285000.0,good,2.0,3.0,installed,,,3620,344.0,0,0,,house,house,0,0,Limburg
142.0,318000.0,,4.0,3.0,installed,,1.0,6534,807.0,1,40,,house,house,1,660,Hainaut
1600.0,5100000.0,as new,4.0,9.0,usa hyper equipped,,,2950,6335.0,0,0,True,house,house,0,0,Antwerp
130.0,353000.0,good,3.0,3.0,installed,,,2800,141.0,1,12,,house,house,0,0,Antwerp
129.0,175000.0,good,4.0,2.0,installed,,,4500,120.0,1,12,,house,apartment,1,60,Liege
350.0,1950000.0,as new,2.0,4.0,usa hyper equipped,,,1180,265.0,1,40,,house,house,1,30,Brussel-Capital
175.0,299000.0,,,3.0,,,,8920,353.0,0,0,,house,house,0,0,West Flanders
154.0,314800.0,,3.0,3.0,,,,9990,630.0,0,0,,house,house,0,0,East Flanders
125.0,127500.0,as new,3.0,2.0,usa semi equipped,,,7080,95.0,1,30,,house,house,0,0,Hainaut
200.0,495000.0,good,4.0,5.0,hyper equipped,,,1480,1199.0,0,0,True,house,house,1,700,Walloon Brabant
235.0,450000.0,as new,3.0,5.0,,,,3210,594.0,1,25,,house,house,1,500,Flemish Brabant
180.0,298000.0,,,5.0,,,,7700,175.0,0,0,,house,apartment,0,0,Hainaut
215.0,319500.0,good,2.0,3.0,installed,,,2880,250.0,1,12,,house,house,0,0,Antwerp
75.0,295000.0,as new,2.0,2.0,installed,,,2830,155.0,0,0,,house,house,1,105,Antwerp
300.0,265000.0,to be done up,2.0,6.0,installed,yes,1.0,4000,200.0,0,0,,house,mansion,1,90,Liege
127.0,320000.0,,3.0,3.0,hyper equipped,,,8400,163.0,1,36,,house,villa,0,0,West Flanders
173.0,140000.0,,3.0,3.0,not installed,,,2360,409.0,0,0,,house,house,0,0,Antwerp
150.0,249000.0,good,4.0,3.0,installed,,,9260,1980.0,0,0,,house,chalet,0,0,East Flanders
