,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,subtype,Province,Zone,zone_num
0,0,123.0,200000,good,3.0,2.0,installed,,,3294,429.0,0,0,,house,house,1,350,1,Flemish Brabant,Flanders_zone,3
1,3,255.0,698000,just renovated,4.0,4.0,installed,,,2070,1210.0,0,0,,house,villa,0,0,2,Antwerp,Flanders_zone,3
2,4,234.0,499000,as new,,5.0,,,,8800,744.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
3,5,219.0,717000,as new,,4.0,,,,8000,760.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
4,6,156.0,429000,good,4.0,4.0,installed,,,8800,419.0,0,0,,house,villa,1,90,2,West Flanders,Flanders_zone,3
5,7,140.0,279000,good,2.0,5.0,installed,,,9000,85.0,1,40,,house,house,0,0,1,East Flanders,Flanders_zone,3
6,8,256.0,210000,good,3.0,4.0,installed,,,7080,201.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
7,9,850.0,849000,good,2.0,9.0,,,,3300,615.0,1,20,,house,mixed,0,0,3,Flemish Brabant,Flanders_zone,3
8,10,161.0,295500,as new,,4.0,hyper equipped,,,5590,533.0,0,0,,house,house,1,631,1,Namur,Wallonia_zone,2
9,13,61.0,42000,to renovate,,1.0,,,,1460,194.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
10,14,160.0,229000,good,2.0,3.0,installed,,,6230,480.0,1,10,,house,house,1,400,1,Hainaut,Wallonia_zone,2
11,15,140.0,104500,to renovate,2.0,3.0,,,,4031,100.0,1,11,,house,house,1,31,1,Liège,Wallonia_zone,2
12,16,176.0,425000,as new,4.0,3.0,hyper equipped,,1.0,1400,735.0,1,40,,house,house,1,500,1,Walloon Brabant,Wallonia_zone,2
13,17,310.0,549000,as new,4.0,3.0,installed,,1.0,2490,1389.0,0,0,,house,villa,0,0,2,Antwerp,Flanders_zone,3
14,18,120.0,745000,good,2.0,3.0,,,,3000,60.0,1,12,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
15,19,170.0,265000,good,3.0,3.0,semi equipped,,,8580,742.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
16,20,182.0,150000,to renovate,2.0,4.0,,,,6880,341.0,1,33,,house,town,1,190,8,Luxembourg,Wallonia_zone,2
19,23,140.0,369000,,2.0,3.0,,,,9120,388.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
20,24,79.0,49000,to renovate,4.0,2.0,semi equipped,,,5640,220.0,1,8,,house,chalet,1,30,14,Namur,Wallonia_zone,2
21,26,70.0,90000,,2.0,2.0,usa semi equipped,,,7040,150.0,0,0,,house,house,1,60,1,Hainaut,Wallonia_zone,2
22,27,229.0,350000,good,,3.0,installed,,,1420,320.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
25,30,191.0,445000,good,4.0,5.0,installed,,,3140,2000.0,0,0,,house,house,1,1500,1,Flemish Brabant,Flanders_zone,3
26,31,154.0,286500,good,3.0,3.0,installed,,,8480,340.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
27,32,112.0,313599,as new,,3.0,,,,3370,143.0,1,16,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
28,33,240.0,849000,as new,4.0,5.0,installed,,,9880,15608.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
29,34,175.0,376250,as new,3.0,3.0,installed,,,4607,475.0,1,12,,house,house,0,0,1,Liège,Wallonia_zone,2
30,36,100.0,240000,good,,2.0,installed,,,6250,485.0,0,0,,house,villa,1,400,2,Hainaut,Wallonia_zone,2
31,37,80.0,120000,good,3.0,2.0,usa installed,,,7301,220.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
32,39,440.0,1290000,as new,4.0,7.0,hyper equipped,,,1410,1600.0,1,100,True,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
33,40,537.0,1850000,good,4.0,5.0,hyper equipped,,,1950,3225.0,1,40,,house,house,1,3000,1,Flemish Brabant,Flanders_zone,3
34,41,189.0,724000,as new,4.0,4.0,,,,9660,8487.0,0,0,,house,country,0,0,7,East Flanders,Flanders_zone,3
35,42,210.0,460000,as new,4.0,4.0,hyper equipped,,,1390,879.0,1,30,,house,house,1,762,1,Walloon Brabant,Wallonia_zone,2
36,43,147.0,209000,good,,3.0,installed,,,8800,354.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
37,44,182.0,285000,good,2.0,3.0,installed,,,3620,344.0,0,0,,house,house,0,0,1,Limburg,Flanders_zone,3
39,46,142.0,318000,,4.0,3.0,installed,,1.0,6534,807.0,1,40,,house,house,1,660,1,Hainaut,Wallonia_zone,2
41,49,1600.0,5100000,as new,4.0,9.0,usa hyper equipped,,,2950,6335.0,0,0,True,house,house,0,0,1,Antwerp,Flanders_zone,3
42,50,130.0,353000,good,3.0,3.0,installed,,,2800,141.0,1,12,,house,house,0,0,1,Antwerp,Flanders_zone,3
44,52,129.0,175000,good,4.0,2.0,installed,,,4500,120.0,1,12,,house,apartment,1,60,4,Liège,Wallonia_zone,2
45,53,350.0,1950000,as new,2.0,4.0,usa hyper equipped,,,1180,265.0,1,40,,house,house,1,30,1,Brussel-Capital,Brussels_zone,1
46,54,175.0,299000,,,3.0,,,,8920,353.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
47,55,154.0,314800,,3.0,3.0,,,,9990,630.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
48,56,125.0,127500,as new,3.0,2.0,usa semi equipped,,,7080,95.0,1,30,,house,house,0,0,1,Hainaut,Wallonia_zone,2
50,58,200.0,495000,good,4.0,5.0,hyper equipped,,,1480,1199.0,0,0,True,house,house,1,700,1,Walloon Brabant,Wallonia_zone,2
51,59,235.0,450000,as new,3.0,5.0,,,,3210,594.0,1,25,,house,house,1,500,1,Flemish Brabant,Flanders_zone,3
52,60,180.0,298000,,,5.0,,,,7700,175.0,0,0,,house,apartment,0,0,4,Hainaut,Wallonia_zone,2
53,61,215.0,319500,good,2.0,3.0,installed,,,2880,250.0,1,12,,house,house,0,0,1,Antwerp,Flanders_zone,3
54,62,75.0,295000,as new,2.0,2.0,installed,,,2830,155.0,0,0,,house,house,1,105,1,Antwerp,Flanders_zone,3
55,63,300.0,265000,to be done up,2.0,6.0,installed,yes,1.0,4000,200.0,0,0,,house,mansion,1,90,6,Liège,Wallonia_zone,2
56,64,127.0,320000,,3.0,3.0,hyper equipped,,,8400,163.0,1,36,,house,villa,0,0,2,West Flanders,Flanders_zone,3
57,65,173.0,140000,,3.0,3.0,not installed,,,2360,409.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
58,67,150.0,249000,good,4.0,3.0,installed,,,9260,1980.0,0,0,,house,chalet,0,0,14,East Flanders,Flanders_zone,3
59,68,430.0,995000,good,4.0,6.0,installed,,,1780,1818.0,1,70,,house,villa,1,1350,2,Flemish Brabant,Flanders_zone,3
60,69,150.0,325500,as new,2.0,3.0,installed,,,2850,199.0,1,24,,house,house,1,80,1,Antwerp,Flanders_zone,3
61,70,148.0,149500,good,2.0,3.0,semi equipped,,,4500,480.0,1,15,,house,house,1,430,1,Liège,Wallonia_zone,2
62,71,166.0,205000,good,2.0,3.0,not installed,,,2890,155.0,0,0,,house,house,1,82,1,Antwerp,Flanders_zone,3
63,72,1050.0,2450000,to renovate,4.0,10.0,hyper equipped,,,3090,3400.0,0,0,,house,mixed,0,0,3,Flemish Brabant,Flanders_zone,3
64,73,149.0,309000,as new,2.0,2.0,usa semi equipped,,,1140,50.0,1,45,True,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
66,75,105.0,430000,just renovated,,3.0,installed,,,3010,228.0,1,18,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
67,76,175.0,630000,just renovated,4.0,2.0,installed,,,9831,1073.0,0,0,,house,country,0,0,7,East Flanders,Flanders_zone,3
68,77,206.0,264500,,2.0,3.0,,,,9550,214.0,1,21,,house,house,0,0,1,East Flanders,Flanders_zone,3
70,79,140.0,296000,,3.0,3.0,installed,,,2450,218.0,1,15,,house,house,0,0,1,Antwerp,Flanders_zone,3
