zone10             min1           max1         mean1       median1                                                              
Antwerp           201.005025  11078.651685  2177.070391  2122.641509
Brussels-Capital  238.853503  12395.833333  3548.071672  3333.333333
East_Flanders     190.000000   6250.000000  2071.180879  2037.037037
Flemish_Brabant    17.605634   7000.000000  2538.752947  2360.000000
Hainaut           145.228216  16086.956522  1388.349423  1262.863593
Limburg           287.081340   3453.947368  1746.861609  1720.779221
Liège             101.851852   3297.520661  1512.440645  1500.000000
Luxembourg         41.322314   3500.000000  1602.022434  1545.454545
Namur             137.362637   3593.750000  1650.457608  1625.467547
Walloon_Brabant   169.491525   8372.093023  2478.798258  2380.952381
West_Flanders      58.478947  15701.570681  2246.562176  1970.103093
